,title,price,n_enrolled,Level,language,subject
892,"Healthcare Finance, Economics and Risk",$199 ,"8,006",Intermediate,English,Economics & Finance
893,Reacciones Químicas y Cálculos Estequiométricos,$49 ,"8,907",Introductory,Español,Chemistry
894,Seeking Women’s Rights: Colonial Period to the Civil War,$50 ,"5,157",Intermediate,English,History
895,VideoX: Creating Video for the edX Platform,$99 ,"12,159",Introductory,English,Education & Teacher Training
896,Comisión de la Verdad Colombia,$29 ,,Introductory,Español,History
897,MathTrackX: Probability,$79 ,,Introductory,English,Math
898,Health Informatics for better and safer healthcare,$49 ,,Introductory,English,Health & Safety
899,Sign Language Science: Factors Contributing to Natural Change,$99 ,,Introductory,English,Language
900,Accounting System Structure and Information Management,$50 ,,Introductory,English,Economics & Finance
901,Sustainable Development: The Post-Capitalist Order,$49 ,"7,031",Introductory,English,Economics & Finance
902,"Health Law, Policy, and Advocacy",$199 ,"6,358",Intermediate,English,Law
903,Introduction to Haptics,$129 ,,Introductory,English,Engineering
904,Gestión de inventario y portafolio,$25 ,,Introductory,Español,Engineering
905,Understanding Nuclear Energy,$50 ,"16,015",Intermediate,English,Engineering
906,Cómo Convertirse en un Líder Exitoso (Entrenamiento de Liderazgo Inclusivo),$50 ,"11,431",Introductory,Español,Business & Management
907,Decision Making Under Uncertainty: Introduction to Structured Expert Judgment,$50 ,,Introductory,English,Business & Management
908,AP® Calculus BC,$49 ,"8,542",Introductory,English,Math
909,Advanced Linear Algebra: Foundations to Frontiers,$49 ,,Advanced,English,Computer Science
910,Entrepreneurial Opportunities,$50 ,"27,182",Introductory,English,Business & Management
911,Agua en América Latina: Abundancia en medio de la escasez mundial,$25 ,"38,581",Introductory,Español,Environmental Studies
912,Understanding Political Concepts,$59 ,"7,421",Introductory,English,Social Sciences
913,How to Code: Complex Data,$125 ,"34,190",Introductory,English,Computer Science
914,Hypersonics – from Shock Waves to Scramjets,$99 ,"19,043",Advanced,English,Engineering
915,Micro and Nanofabrication (MEMS),$199 ,"16,094",Advanced,English,Engineering
916,Scientific Methods and Research,$49 ,"7,501",Intermediate,English,Science
917,Customer Centric Marketing for Entrepreneurs,$149 ,"14,003",Intermediate,English,Business & Management
918,Dog Behavior: Problems and Solutions,$169 ,"16,467",Intermediate,English,Social Sciences
919,The Business of Mining,$139 ,"20,406",Introductory,English,Business & Management
920,"Social Work Practice in Community Organization, Management and Policy/Evaluation",$199 ,"9,522",Advanced,English,Social Sciences
921,The Business of Aging in the Longevity Economy,$139 ,,Introductory,English,Social Sciences
922,Understanding the Australian Health Care System,$59 ,"8,343",Introductory,English,Medicine
923,Age of Sustainable Development,$49 ,"10,019",Intermediate,English,Social Sciences
924,Internationalization: Creating Digital Content for the World,$199 ,,Advanced,English,Computer Science
925,Multi-Object Tracking for Automotive Systems,$249 ,"8,581",Advanced,English,Engineering
926,Economics and Policies in a Biobased Economy,$149 ,,Advanced,English,Energy & Earth Sciences
927,Strategic Leadership in Healthcare,$199 ,"6,237",Intermediate,English,Business & Management
928,Terrorism and Counterterrorism: An Introduction,$49 ,"14,128",Introductory,English,Humanities
929,Exploring Psychology's Core Concepts|走进心理学,$139 ,"5,741",Introductory,English,Social Sciences
930,Creating Virtual Reality (VR) Apps,$99 ,"22,349",Intermediate,English,Computer Science
931,Análisis Multivariable en SPSS,$49 ,,Introductory,Español,Data Analysis & Statistics
932,Steps in Japanese for Beginners2 Part1,$99 ,,Introductory,English,Language
933,"Competencias para buscar, mantener y promocionar en un empleo",$49 ,,Introductory,Español,Social Sciences
934,Dynamics and Control,$50 ,"27,763",Introductory,English,Engineering
935,Finding Your Cybersecurity Career Path,$199 ,"19,283",Introductory,English,Computer Science
936,Introducción a la caligrafía y paleografía en archivos hispanos medievales y modernos,$29 ,"12,674",Introductory,Español,Humanities
937,Mechanics: Rotational Dynamics,$49 ,"13,183",Intermediate,English,Physics
938,Applying Health Coaching in Patient Care,$199 ,,Introductory,English,Medicine
939,Databases: Modeling and Theory,$50 ,,Introductory,English,Computer Science
940,"Islamic Banking: Principles, Practice and Risk Management",$49 ,,Introductory,English,Economics & Finance
941,Liderazgo orientado al florecimiento humano,$149 ,"7,911",Introductory,Español,Business & Management
942,Software Construction: Object-Oriented Design,$125 ,"23,100",Intermediate,English,Computer Science
943,"Introduction to Hyperledger Sovereign Identity Blockchain Solutions: Indy, Aries & Ursa",$199 ,,Introductory,English,Computer Science
944,Fondements de l’économie sociale et solidaire,$50 ,,Intermediate,Français,Social Sciences
945,The Civil War and Reconstruction - 1861 - 1865: A New Birth of Freedom,$50 ,"17,941",Introductory,English,History
946,Innovation Strategies for Electric Mobility: The StreetScooter Case,$99 ,,Intermediate,English,Business & Management
947,Sustainable Energy,$149 ,,Advanced,English,Energy & Earth Sciences
948,Designing and Leading Learning Systems,$199 ,"11,895",Advanced,English,Education & Teacher Training
949,How the U.S. Government Works & How to Get Involved,$49 ,"5,930",Introductory,English,Social Sciences
950,Inspiring and Motivating Arts and Culture Teams,$49 ,"10,817",Introductory,English,Business & Management
951,Principles of Microeconomics: An Economist Way of Thinking,$149 ,,Intermediate,English,Economics & Finance
952,A System View of Communications: From Signals to Packets (Part 1),$60 ,"34,261",Introductory,English,Computer Science
953,"Invasions, Rebellions, and the Fall of Imperial China",$139 ,"41,537",Introductory,English,History
954,AP® English Literature & Composition – Part 3: Plays,$49 ,"6,443",Introductory,English,Humanities
955,Cómo implantar grupos de mejora de procesos,$150 ,"28,100",Introductory,Español,Business & Management
956,Proteins: Biology's Workforce,$169 ,"25,893",Intermediate,English,Biology & Life Sciences
957,Introducción a los ritmos y relojes biológicos,$50 ,"6,149",Introductory,Español,Science
958,Linear Algebra I: Linear Equations,$199 ,,Intermediate,English,Math
959,"Fundamentals of Biomedical Imaging: Ultrasounds, X-ray, positron emission tomography (PET) and applications",$169 ,"10,205",Advanced,English,Engineering
960,Fundamentos de Electromagnetismo para Ingeniería,$49 ,"15,040",Introductory,Español,Physics
961,Sustainable Food Systems: A Mediterranean Perspective,$49 ,"6,480",Intermediate,English,Food & Nutrition
962,Scripting and Programming Foundations,$299.70 ,,Introductory,English,Computer Science
963,Using GPUs to Scale and Speed-up Deep Learning,$99 ,"9,294",Intermediate,English,Data Analysis & Statistics
964,StudioX: Creating a Course with edX Studio,$99 ,"20,355",Introductory,English,Education & Teacher Training
965,The Power of Data,$49 ,,Introductory,English,Data Analysis & Statistics
966,Introducción a las ondas gravitacionales,$50 ,"8,657",Introductory,Español,Science
967,Drones and Autonomous Systems 2: Applications in Emergency Management,$149 ,,Intermediate,English,Science
968,MathTrackX: Differential Calculus,$79 ,,Introductory,English,Math
969,Global China: From the Mongols to the Ming,$139 ,"41,902",Introductory,English,History
970,Leaders in Citizen Security and Justice Management for the Caribbean,$25 ,,Intermediate,English,Social Sciences
971,Pattern Studying and Making | 图案审美与创作,$139 ,,Introductory,中文,Art & Culture
972,Computational Neuroscience: Neuronal Dynamics of Cognition,$139 ,"11,246",Advanced,English,Biology & Life Sciences
973,Cities and the Challenge of Sustainable Development,$25 ,"8,775",Introductory,English,Environmental Studies
974,MathTrackX: Special Functions,$79 ,,Introductory,English,Math
