,course_title,price,num_subscribers,level,subject,idioma
68,How I Make Consistent Returns Trading Options,200,2310,All Levels,Business Finance,Ingles
69,"Forex Strategies: Kelly Criterion, Larry Williams and more!",185,5528,All Levels,Business Finance,Ingles
70,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",125,6451,All Levels,Business Finance,Ingles
71,Options Trading Introduction: Day Trade Stock Options,95,12394,Beginner Level,Business Finance,Ingles
72,The Almost Perfect Options Trading Strategy System - Unique,200,1793,All Levels,Business Finance,Ingles
73,Forex Trading -  Learn to Trade Forex Like the Banks,20,3223,All Levels,Business Finance,Ingles
74,Learn to Trade for Profit:Trading with Japanese Candlesticks,60,16385,Beginner Level,Business Finance,Ingles
75,The Most Powerful Options Spread Trading Front Ratio Spread,200,1487,All Levels,Business Finance,Ingles
76,What Finance Job is for You? Explanation of 14 Finance Roles,200,2951,All Levels,Business Finance,Ingles
77,The Blueprint for Successful Stock Trading,120,2697,All Levels,Business Finance,Ingles
78,Trading for Beginners - Intermediate Level,150,3979,Beginner Level,Business Finance,Ingles
79,Start Trading Stocks Using Technical Analysis!,25,3190,All Levels,Business Finance,Ingles
80,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,200,1406,Expert Level,Business Finance,Ingles
81,VPS for Forex Trading - Protect Your Forex Robots,160,4252,All Levels,Business Finance,Ingles
82,Introduction to Accounting: The Language of Business,20,11958,Beginner Level,Business Finance,Ingles
83,Basic Excel for Basic Bookkeeping and Accounting,95,7743,Beginner Level,Business Finance,Ingles
84,"Using 'The Greeks To Understand Options""",50,2134,All Levels,Business Finance,Ingles
85,Trading Options For Consistent Returns: Calendar Spreads,200,1214,All Levels,Business Finance,Ingles
86,How to Create Your Personal Budget,20,3870,All Levels,Business Finance,Ingles
87,The Complete Value Investing Course: A Proven Approach,200,2146,All Levels,Business Finance,Ingles
88,FOREX Trading with Price Action,195,484,Beginner Level,Business Finance,Ingles
89,Emini ES Futures - Advanced Non Directional Options Trading,200,1057,All Levels,Business Finance,Ingles
90,Forex Trading - Advanced Fundamental Analysis,20,1754,Intermediate Level,Business Finance,Ingles
91,How To Invest With Tiny Capital In Stocks ?,20,1239,Beginner Level,Business Finance,Ingles
92,Learn How To Successfully Trade Stocks: In 5 Simple Steps,95,2493,All Levels,Business Finance,Ingles
93,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,150,2602,Beginner Level,Business Finance,Aleman
94,Intermediate Options trading concepts for Stocks and Options,40,2000,All Levels,Business Finance,Ingles
95,Options Trading 101: The Basics,0,1514,Beginner Level,Business Finance,Ingles
96,Practical Accounts APP Overview,20,1361,Intermediate Level,Business Finance,Ingles
97,Bitcoin Profits for Beginners,100,61,Beginner Level,Business Finance,Ingles
98,Trend Traders Club: How To Find And Trade Fast Moving Trends,75,1513,All Levels,Business Finance,Ingles
99,Financial Statements Basics,20,1374,Beginner Level,Business Finance,Ingles
100,High performance Stock Trading using key Options techniques,40,2103,All Levels,Business Finance,Ingles
101,Introduction to Financial Statement Analysis,20,1480,Beginner Level,Business Finance,Ingles
102,Basics of Economics (College Level),25,2516,All Levels,Business Finance,Ingles
103,Stock Market Investing for Beginners,0,50855,Beginner Level,Business Finance,Ingles
104,Accounting for Beginners : Learn Basics in under 1 Hour,50,1971,Beginner Level,Business Finance,Ingles
105,Straddle Options Trading - Profit in Any Market Direction,200,837,All Levels,Business Finance,Ingles
106,Fundamentals of Forex Trading,0,17160,All Levels,Business Finance,Ingles
107,"Binary Options: Trading Strategies, 90% Accuracy and Signals",195,1723,Beginner Level,Business Finance,Ingles
108,Website Investing 101 - Buying & Selling Online Businesses,0,6811,All Levels,Business Finance,Aleman
109,Practical Accounts & Bookkeeping Automated Overview ,20,2060,All Levels,Business Finance,Ingles
110,Live Account - ETF Trading System - Hacking The Stock Market,150,2318,All Levels,Business Finance,Ingles
111,Stock Market Leverage: How to Start Trading Options Wisely,95,2153,Beginner Level,Business Finance,Ingles
112,Stock Market Foundations,0,19339,Beginner Level,Business Finance,Ingles
113,Crash Course on Working Capital Management,20,3177,All Levels,Business Finance,Ingles
114,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,150,1535,All Levels,Business Finance,Ingles
115,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,20,1027,All Levels,Business Finance,Ingles
116,How to create a routine Trading,25,307,All Levels,Business Finance,Ingles
117,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",150,2096,All Levels,Business Finance,Ingles
118,Forex SOS Course: Trading Tweaks And Working Forex Strategy,50,1315,Beginner Level,Business Finance,Ingles
119,Introduction to Financial Modeling,0,29167,Intermediate Level,Business Finance,Ingles
120,Quantitative Aptitude for Banking & Competitive Examinations,50,1056,All Levels,Business Finance,Ingles
121,Option Spreads and Credit Spreads Bundle,180,2212,Expert Level,Business Finance,Ingles
122,B Com Accountancy I (Paper ECO 02 IGNOU),50,2946,All Levels,Business Finance,Ingles
123,FOREX TRADING - Learn in a quick + profitable way + support,100,271,All Levels,Business Finance,Ingles
124,Auditing Basics (Professional Course Level),25,3771,All Levels,Business Finance,Ingles
125,Stock market Investing Encyclopedia: How to invest in stocks,200,3143,Intermediate Level,Business Finance,Ingles
126,Learn the basics of preparing accounting statements,20,1951,Intermediate Level,Business Finance,Ingles
127,Elliott Wave -Forex Trading With The Elliott Wave Theory,90,4022,Expert Level,Business Finance,Ingles
128,Corporate Finance - A Brief Introduction,0,11724,Beginner Level,Business Finance,Ingles
129,Excel functions to analyze and visualize data,20,2283,Intermediate Level,Business Finance,Ingles
130,Building Financial Statements in Excel,35,1181,Beginner Level,Business Finance,Ingles
131,Transfer Pricing A Complete Analysis,50,1852,All Levels,Business Finance,Ingles
132,Accounting: Get Hired Without Work Experience,100,4661,All Levels,Business Finance,Ingles
133,Forex Trading for Beginners - Basics,50,989,All Levels,Business Finance,Ingles
