,course_title,price,num_subscribers,level,subject,idioma
482,Learn Financial Accounting Different,20,79,All Levels,Business Finance,Ingles
483,CFA Level I Workshop 4: Fixed Income and Equity,20,139,All Levels,Business Finance,Ingles
484,"IAS37 - Provisions, Contingents Liabilities & Assets",0,2247,All Levels,Business Finance,Ingles
485,What You Should Know to Become a Trader,125,17,All Levels,Business Finance,Ingles
486,Financial Reporting A Comprehensive Study,50,45,All Levels,Business Finance,Ingles
487,An Abundance Mindset: How to Craft Yours,50,33,Beginner Level,Business Finance,Ingles
488,Forex Trading Profit 183%p.a : Trend is Our Friend-ALGOTREND,120,54,All Levels,Business Finance,Ingles
489,How to Build a Massive Retirement Plan from Scratch!,200,1498,Beginner Level,Business Finance,Ingles
490,Financial modeling: Build a forward looking financial model,20,2317,All Levels,Business Finance,Ingles
491,Trading for Beginners - Entry Level,0,5077,Beginner Level,Business Finance,Ingles
492,Bitcoin or How I Learned to Stop Worrying and Love Crypto,0,65576,All Levels,Business Finance,Ingles
493,Trend Following Stocks: A Complete Trading System,95,1202,Expert Level,Business Finance,Ingles
494,Forex Basics,0,22344,Beginner Level,Business Finance,Ingles
495,Accounting Bank Reconciliation Statement (College Level),20,2189,All Levels,Business Finance,Ingles
496,Bitcoin - Ethereum: Trading -Watch me manage my own account!,165,431,All Levels,Business Finance,Ingles
497,FOREX : Learn Technical Analysis,200,1199,All Levels,Business Finance,Ingles
498,FastTrack to Stock Trading Strategies,25,5685,All Levels,Business Finance,Ingles
499,Algorithmic futures trading - Investing with no experience,195,1512,All Levels,Business Finance,Ingles
500,Succeed in Forex Even if You Don't Know Where to Start!,200,1806,Beginner Level,Business Finance,Ingles
501,Hedge Fund Accounting and Valuation,20,668,All Levels,Business Finance,Ingles
502,"Binary, Forex, Stock and Bitcoin Trading Strategy",0,3757,All Levels,Business Finance,Ingles
503,2 Easy Steps To Investment And Avoiding Traps,20,828,All Levels,Business Finance,Ingles
504,Ethereum Course for Investors,40,111,All Levels,Business Finance,Ingles
505,Using Xero for your bookkeeping needs  do beautiful business,95,39,Beginner Level,Business Finance,Ingles
506,Capital Market Immersion,195,613,All Levels,Business Finance,Ingles
507,Forex Trading :RSI Indicator-A Secret Weapon,95,57,All Levels,Business Finance,Ingles
508,"Trading Mindset, and Three Steps To Profitable Trading",20,246,Beginner Level,Business Finance,Ingles
509,Professional Bookkeeping & Accounting 4:Trial Balance & More,35,83,All Levels,Business Finance,Ingles
510,"Internal Controls - Design, Implementation and Monitoring",195,62,Beginner Level,Business Finance,Ingles
511,Forex online live trading system (Special Offer),200,31,All Levels,Business Finance,Ingles
512,Winning Options Trading System,105,367,All Levels,Business Finance,Ingles
513,Learn The ABC's Of Investing And Understanding True Financial Value,20,3,All Levels,Business Finance,Ingles
514,How to invest in Russian equity market,30,3,Intermediate Level,Business Finance,Ingles
515,Handle difficult questions the bank manager will ask you,20,2,All Levels,Business Finance,Ingles
516,Credit Control Procedures,20,3,All Levels,Business Finance,Ingles
517,FMT: Forex Market Trader Certificate,20,1,All Levels,Business Finance,Ingles
518,Six Stage Negotiation,30,1,All Levels,Business Finance,Ingles
519,Financial Reporting - Fundamentals/Basics,20,2,Beginner Level,Business Finance,Ingles
520,Decide whether to Invest in a Business ,20,1,Beginner Level,Business Finance,Ingles
521,UK Tax Returns with HMRC,40,2,Beginner Level,Business Finance,Ingles
522,Financial Market Environment & Investment Strategies,105,1,All Levels,Business Finance,Ingles
523,How to Obtain a Business Loan,20,1,All Levels,Business Finance,Ingles
524,Evolution and Features of ETFs,100,0,All Levels,Business Finance,Ingles
525,Cost Accounting Operating Costing(Professional Course Level),20,731,All Levels,Business Finance,Ingles
526,Trade RSI Breakout Strategy: Great Risk/Reward Ratio (Forex),200,66,All Levels,Business Finance,Ingles
527,"Day trading strategy for all level, with 72% success rate",95,51,All Levels,Business Finance,Ingles
528,"Accounting, Finance and Banking - A Comprehensive Study",180,507,All Levels,Business Finance,Ingles
529,Advanced Technical Analysis PART1!,100,9,Intermediate Level,Business Finance,Ingles
530,Advanced Financial Management for CA / CS / CFA /CPA Exams,150,375,All Levels,Business Finance,Ingles
531,Learn the Foundations of Stocks and Options,50,80,Beginner Level,Business Finance,Ingles
532,Forex Trading Masterclass - Learn To Trade Better,200,152,All Levels,Business Finance,Ingles
533,Introduction to Accounting - Analyzing Financial Statements,60,37,Intermediate Level,Business Finance,Ingles
534,Credit Risk Analysis,20,194,Intermediate Level,Business Finance,Ingles
535,Fund Flow Analysis for CA / CFA / CPA Exams,25,1184,Intermediate Level,Business Finance,Ingles
536,Python for Trading & Investing,95,638,All Levels,Business Finance,Ingles
537,Stocks For Beginners - A Guide To Investing,20,64,Beginner Level,Business Finance,Ingles
538,Intro to Impact Investing,200,44,Beginner Level,Business Finance,Ingles
539,Stock Market - Swing Trading Strategies for Wall Street,50,814,All Levels,Business Finance,Ingles
540,Essential Options: Strategies for Mastering the Stock Market,50,211,Intermediate Level,Business Finance,Ingles
541,The Day Trader: Learn to Trade The Stock Market and Forex,20,768,All Levels,Business Finance,Ingles
542,Introduction To The World Of Equity Finance,20,29,All Levels,Business Finance,Ingles
543,Stock Technical Analysis with Excel,50,156,All Levels,Business Finance,Ingles
544,Beginners Forex strategy,0,2144,Beginner Level,Business Finance,Ingles
545,Mortgage Backed Securities,50,376,All Levels,Business Finance,Ingles
546,The Complete Financial Model Builder Course-Build 7 Models,75,214,All Levels,Business Finance,Ingles
547,Fundamental Financial Math,50,406,All Levels,Business Finance,Español
548,Equity Swaps,50,394,All Levels,Business Finance,Ingles
549,Proven Methods In Trading Candlestick Patterns,75,438,All Levels,Business Finance,Ingles
550,Read financial statements as a stock investor,20,56,Beginner Level,Business Finance,Ingles
551,Investing: How to Fix Hidden Flaws Inside Your Portfolio,195,58,All Levels,Business Finance,Ingles
552,Certificate Program in Financial Accounting,50,1047,All Levels,Business Finance,Ingles
553,Trading Biotech Stocks - Understanding the Healthcare Sector,55,166,All Levels,Business Finance,Ingles
554,Indian Contract Act 1872: Must for all Finance Professionals,20,605,All Levels,Business Finance,Ingles
555,Fundraising Success: The Art & Science of Major Gifts,50,38,Intermediate Level,Business Finance,Ingles
556,Smart Trading Techniques for Safe & Consistent Weekly Result,100,46,Intermediate Level,Business Finance,Ingles
557,Technical Trading and Investing Made Easy,40,217,Intermediate Level,Business Finance,Ingles
558,Budgeting for Business,40,78,All Levels,Business Finance,Ingles
559,Complete Guide to Business Loans,30,35,Beginner Level,Business Finance,Ingles
560,Hot Trading Investing Strategy: ETF and Futures,50,80,All Levels,Business Finance,Ingles
561,Financial Management - A Complete Study,190,1941,All Levels,Business Finance,Ingles
562,MQL4 Programming for Traders: Build Robust Trading Robots!,195,1367,All Levels,Business Finance,Ingles
563,Ultimate Stock Market Investing: Learn How to Value Stocks,50,1519,All Levels,Business Finance,Ingles
564,Collection of Advanced Options concepts for Options traders,40,2025,Expert Level,Business Finance,Ingles
565,No Bull Investing: Investing 101 For Financial Freedom,100,1213,Beginner Level,Business Finance,Ingles
566,Financial Modeling - Build Your Own 3 Statement Projection,20,1092,Beginner Level,Business Finance,Ingles
567,Small Business Owners: Drive a Productive Business and Grow,20,5099,Beginner Level,Business Finance,Ingles
568,Successful Day Trading with Fibonacci,200,869,All Levels,Business Finance,Ingles
569,Short Straddles - Exploit Earnings Option Volatility Crush,60,59,Expert Level,Business Finance,Ingles
570,Bitcoin For Beginners: Your Quick Start Guide To Bitcoin,0,10670,All Levels,Business Finance,Ingles
571,Technical Analysis 101: Ten Primary Candlestick Reversals,95,1741,All Levels,Business Finance,Ingles
572,Financial Analysis:  A Recipe for Success,0,19614,All Levels,Business Finance,Ingles
573,"Basics of Fixed Income Valuation, CFA Level I 2017 Prep",20,4,Beginner Level,Business Finance,Ingles
574,Intro to Financial Statement Audits,50,1,Intermediate Level,Business Finance,Ingles
575,"How to Get Growing, Passive Income from the Fortune 500!",25,4,All Levels,Business Finance,Ingles
576,Managing Budgets in the Public and Non Profit Sector,95,4,All Levels,Business Finance,Ingles
577,System of Asset Management for Professionals (SAMP),50,8,Expert Level,Business Finance,Ingles
578,How to invest in Forex Trading & add an additional income,50,8,All Levels,Business Finance,Ingles
579,Tax made simple for Limited Company Owners and Contractors,50,11,All Levels,Business Finance,Ingles
580,Introduction to the 8 Pillars for Accountants,20,18,Beginner Level,Business Finance,Ingles
581,FX Trading for Beginners,20,16,All Levels,Business Finance,Ingles
582,Write a Successful Business Grant Proposal,20,6,Beginner Level,Business Finance,Ingles
583,A Guide To Trade Binary Options Like An Expert,55,4,All Levels,Business Finance,Ingles
584,Ratio analysis for bankers and credit analysts,20,1,Beginner Level,Business Finance,Ingles
585,Numbers for the  Business Plan,20,210,All Levels,Business Finance,Ingles
586,Dash Crypto Currency Technical and Trading Overview Bootcamp,20,4,All Levels,Business Finance,Ingles
587,1 - Concepts of Statistics For Beginners Step by Step,200,273,Beginner Level,Business Finance,Ingles
588,4. Ordinary Simple Annuities: The Basics,20,237,All Levels,Business Finance,Ingles
589,الدروس التعليمية لسوق الفوركس والأسواق المالية الأخرى,0,368,All Levels,Business Finance,Arabe
590,Financial Risk Manager (FRM) Certification: Level II,50,86,All Levels,Business Finance,Ingles
591,Level 1 2014 CFA® Program – Corporate Finance,40,204,All Levels,Business Finance,Ingles
592,3. Compound Interest ,20,570,All Levels,Business Finance,Ingles
593,8. Amortization Schedules,20,225,All Levels,Business Finance,Ingles
594,Finance Fundamentals for Non Finance Leaders,20,37,All Levels,Business Finance,Ingles
595,Strategy layout and Backtesting,200,36,Expert Level,Business Finance,Ingles
596,Easy Forex and Futures Trading,100,218,All Levels,Business Finance,Ingles
597,Finanzas y Análisis Financiero: Manejo Seguro de Negocios,20,50,Beginner Level,Business Finance,Español
598,Aprende a hacer paper trading (simulación) con Ninja Trader,25,148,Beginner Level,Business Finance,Español
599,Trading mit kleinen Konten - Grundlagen die du kennen musst,80,74,Beginner Level,Business Finance,Aleman
600,entiende la contabilidad y consigue un aumento de salario,20,260,Beginner Level,Business Finance,Español
601,Trade for Profit: Find-Trade Stocks Successfully Arabic عربي,95,299,All Levels,Business Finance,Ingles
602,Trading Forex  - L'analyse des volumes,70,4,All Levels,Business Finance,Ingles
603,Disminuye deudas en tu hogar en menos de 30 días,20,65,Beginner Level,Business Finance,Español
604,CPA 10 COMPLETO,25,101,All Levels,Business Finance,Portuges
605,Trading Intradiario basado en Precio y Volumen,40,92,Intermediate Level,Business Finance,Español
606,Aprenda Cálculo Financeiro de Forma Simples,20,76,All Levels,Business Finance,Portuges
607,Wie funktionieren Bitcoin? Ein Einführungskurs.,20,14,Beginner Level,Business Finance,Aleman
608,Estruturação Financeira,45,18,All Levels,Business Finance,Portuges
609,Five steps to becoming a winner in stock investing,20,21,All Levels,Business Finance,Ingles
610,Financial Accounting Plus Excel and SAP Crash Course.,20,18,Beginner Level,Business Finance,Ingles
611,Introduction to Financial Consolidation under IFRS,25,21,All Levels,Business Finance,Ingles
612,How to read a Profit & Loss Account and Balance Sheet,20,49,All Levels,Business Finance,Ingles
613,Learn Bookkeeping From Scratch,20,168,All Levels,Business Finance,Ingles
614,ACCA MA1 Management Information,50,16,Beginner Level,Business Finance,Ingles
615,Introduction to Bitcoin for Beginners,20,2,Beginner Level,Business Finance,Ingles
616,Stock Trading: Ultimate Guide to swing trading stocks,200,336,All Levels,Business Finance,Ingles
617,Bookkeeping Systems,20,20,All Levels,Business Finance,Ingles
618,Precious Metal Equities,20,28,All Levels,Business Finance,Ingles
619,Start Now: A Rescue Plan for Retirement Late Savers,150,11,All Levels,Business Finance,Ingles
620,Eu Funding: Module 2 - Introduction to Horizon 2020,20,11,Intermediate Level,Business Finance,Ingles
621,How I Make Money Writing About Stocks Online,195,360,Beginner Level,Business Finance,Ingles
622,Tradeonomics - Four Steps to Mastering Economic Indicators,20,1189,All Levels,Business Finance,Ingles
623,Improve Your Financial Literacy,0,9995,All Levels,Business Finance,Ingles
624,Forex Trading : Power Of Moving Averages,200,100,All Levels,Business Finance,Ingles
625,Demystifying Your Personal Tax Return,0,3426,Beginner Level,Business Finance,Ingles
626,Samuel and Co Trading - Stock & Forex Trading,50,592,All Levels,Business Finance,Ingles
627,Accounting Department's Tips & Tricks - Beginner to Advanced,95,1222,All Levels,Business Finance,Ingles
628,Certificate Program In Management Accounting,50,1532,All Levels,Business Finance,Ingles
629,How I Trade Forex Successfully,0,5768,All Levels,Business Finance,Ingles
630,Professional Trading With Institutional Supply & Demand,200,343,All Levels,Business Finance,Ingles
631,Master Calendar Spreads with this live trade on Gold (GLD),60,540,Expert Level,Business Finance,Ingles
632,Accounting 101: Guide to Business Accounting,50,2031,Beginner Level,Business Finance,Ingles
633,An Introduction to Financial Markets on Wall Street,30,7,All Levels,Business Finance,Ingles
634,Win 90% of Trades; Quantitative Investments Models in Excel,200,4,Beginner Level,Business Finance,Ingles
635,The Forex Pivot Points Trading Strategy,20,21,All Levels,Business Finance,Ingles
636,Your Business by the Numbers,25,29,All Levels,Business Finance,Ingles
637,Forex - Trade Gartley with Precision - Complete Strategy,20,50,All Levels,Business Finance,Ingles
638,Bitcoin & Ethereum Course (2 Course Bundle),200,1,All Levels,Business Finance,Ingles
639,Create Trading Robot Without Coding Skills!,145,5,All Levels,Business Finance,Ingles
640,Accounting and the Triple Bottom Line,30,6,Intermediate Level,Business Finance,Ingles
641,MQL5 - Beginner To Expert,45,16,Beginner Level,Business Finance,Aleman
642,How to be A High Performance Insurance Broker Part 2,40,70,All Levels,Business Finance,Ingles
643,"CFA Level I Workshop 5: Corp Finance, Quants II & Derivative",20,110,All Levels,Business Finance,Ingles
644,Xero Bookkeeping Course & Certification by Accounting Firm,20,7,Beginner Level,Business Finance,Ingles
645,Trading News Using Binary Options,145,1186,All Levels,Business Finance,Ingles
646,Trading Trends in ANY Market,30,632,All Levels,Business Finance,Ingles
647,Financial Statements Analysis: Learn to Invest Like a Pro!,50,1237,Beginner Level,Business Finance,Ingles
648,Contango VXX - ETF Options Trading - Double Your Investment,200,513,All Levels,Business Finance,Ingles
649,Mergers and Acquisitions M&A Essentials You Need to Know,95,4103,Beginner Level,Business Finance,Ingles
650,TRADING MARKET MAP,45,1489,All Levels,Business Finance,Ingles
651,How To Confidently Join The Bitcoin Revolution,45,547,Beginner Level,Business Finance,Ingles
652,High Probability Trading Across Any Market: Stocks & Forex,95,353,All Levels,Business Finance,Ingles
653,Option Trading for Rookies: Make & Manage Profitable Trades,95,507,All Levels,Business Finance,Ingles
654,Your First Successful Forex Trades - With Case Studies,200,1079,All Levels,Business Finance,Ingles
655,MCA Accountancy and Financial Management -Paper MCS 35 IGNOU,180,3667,All Levels,Business Finance,Ingles
656,"High-Frequency Trading #1: Basics, History & Strategies",50,2222,All Levels,Business Finance,Ingles
657,Financial Accounting - The Ultimate Beginner Course,100,9,Beginner Level,Business Finance,Ingles
658,Level 1 2014 CFA® Program – Derivatives,40,225,All Levels,Business Finance,Ingles
659,The Complete Investing Guide: How to Beat Wall Street,50,13,All Levels,Business Finance,Ingles
660,"Bitcoins - Past, Present, Future",20,373,Beginner Level,Business Finance,Frances
661,Learn Accounting by Specific Examples - Part 1,50,306,All Levels,Business Finance,Ingles
662,Forex: Presentation and  Analysis (Fundamental & Technical),50,14,Beginner Level,Business Finance,Ingles
663,Year-end QuickBooks Procedures,20,51,Beginner Level,Business Finance,Ingles
664,Price Action Gap Trading Strategies,20,13,Intermediate Level,Business Finance,Ingles
665,How to start a successful career in finance?,0,1318,All Levels,Business Finance,Ingles
666,Level 1 2014 CFA® Program – Equity Investments,40,347,All Levels,Business Finance,Ingles
667,Wealth Management,30,274,All Levels,Business Finance,Ingles
668,Basics of Private Equity,60,9,Intermediate Level,Business Finance,Ingles
669,Curso Completo del Mercado FOREX,200,359,All Levels,Business Finance,Español
670,Como Investir em Ações para Iniciantes,0,6024,All Levels,Business Finance,Portuges
671,Robots de Forex: espere ganar 175%p.a! Incluye Robot de Fx! ,130,315,All Levels,Business Finance,Ingles
672,６時間でインターバンク市場を攻略！最短距離でトレード基礎力,35,280,All Levels,Business Finance,Japones
673,Matemática Financeira de um jeito fácil,95,401,All Levels,Business Finance,Portuges
674,ビットコイン生態系｜既存通貨が主役をやめる日,20,701,Beginner Level,Business Finance,Japones
675,Trading Forex - Trader avec les figures harmoniques,90,57,Beginner Level,Business Finance,Frances
676,Введение в Финансовую Инженерию,50,205,Beginner Level,Business Finance,Ruso
677,Aprenda a Investir no Tesouro Direto Passo a Passo,35,62,All Levels,Business Finance,Portuges
678,資産運用の基礎を学ぶファイナンス入門,20,114,Beginner Level,Business Finance,Japones
679,Aprende a invertir y deja que tu dinero trabaje para ti,145,789,All Levels,Business Finance,Español
680,Buchführung lernen leicht gemacht,40,446,Beginner Level,Business Finance,Aleman
681,Day Trading: High ROI Day Trading ,150,17,Intermediate Level,Business Finance,Ingles
682,Flow Management and Forecasting,20,16,All Levels,Business Finance,Ingles
683,An Introduction to Management of Portfolios (MoP),20,117,Beginner Level,Business Finance,Ingles
684,CFA Level I Workshop 1: Ethics and Quantitative Methods,20,147,All Levels,Business Finance,Ingles
685,Accounting Basics 101 for Understanding Business,20,7,All Levels,Business Finance,Ingles
686,Mortgage Acceleration,20,247,All Levels,Business Finance,Ingles
687,Stock Market for Beginners. Learn to trade,35,143,All Levels,Business Finance,Ingles
688,CFA Corporate Finance Level 1 (Part 1),180,621,All Levels,Business Finance,Ingles
689,Trading Tips from Hedge Fund Manager,50,6,All Levels,Business Finance,Ingles
690,Effective Debt Collection Strategies,40,5,Intermediate Level,Business Finance,Ingles
691,IAS 1-Presentation of Financial Statements ,0,2674,All Levels,Business Finance,Ingles
692,Stock Trading Strategies Using a D.A.R.T.,20,227,All Levels,Business Finance,Ingles
693,Capital Structuring Techiques for CA / CFA / CPA Exams,125,4480,Intermediate Level,Business Finance,Ingles
694,The Complete Guide to Forex Trading,20,1329,All Levels,Business Finance,Ingles
695,Learn How to Trade Binary Options Professionally,0,5144,All Levels,Business Finance,Ingles
696,Learn How to Start Small and Make It Big In Small-Cap Stocks,50,2635,Beginner Level,Business Finance,Ingles
697,Trading strategies with common sense technical analysis,75,1750,All Levels,Business Finance,Ingles
698,Startup Business: How To Raise Seed Capital,95,3360,All Levels,Business Finance,Ingles
699,Business Economics - Basics (College Level),50,3425,All Levels,Business Finance,Ingles
700,Technical Analysis 101: Master the Basics of Trading,95,2688,All Levels,Business Finance,Ingles
701,Investing in Stocks? Master The Art of Covered Calls Selling,80,1095,All Levels,Business Finance,Ingles
702,How to Trade Binary Options Effectively – All Levels,195,1680,All Levels,Business Finance,Ingles
703,Stock Market: The Zero Risk Way of Investing,25,2046,Beginner Level,Business Finance,Ingles
704,Forex Trading using professional indicators by TOP traders,200,1699,All Levels,Business Finance,Ingles
705,Corporate Finance 101: Equity Valuation,50,1071,All Levels,Business Finance,Ingles
706,Trading Strategies: Find The Trading Strategy That Fits You,20,1037,All Levels,Business Finance,Ingles
707,Forex Trading - Learn An Effective Forex Trading Strategy,95,223,All Levels,Business Finance,Ingles
708,Navigate the 10-K and Other Financial Reports,40,653,All Levels,Business Finance,Ingles
709,From 0 to 1: Investments and Portfolio Theory,50,230,Beginner Level,Business Finance,Ingles
710,Bitcoin - The Complete Guide,20,2281,All Levels,Business Finance,Ingles
711,Professional Trader's Mindset - Complete Forex Course,50,4702,All Levels,Business Finance,Ingles
712,Bitcoin Peer Investing: How To Generate Double Digit Returns,25,366,All Levels,Business Finance,Ingles
713,Forex Breakout Profits: The Definitive Guide,25,521,All Levels,Business Finance,Ingles
714,Learn to Trade With Fibonacci Tools,30,252,Intermediate Level,Business Finance,Ingles
715,"Investing Internationally into Real Estate, Stocks and Bonds",200,1101,All Levels,Business Finance,Ingles
716,From 0 to 1: Bond Theory and Valuation,50,223,Beginner Level,Business Finance,Ingles
717,Stock Market Mastery,20,135,All Levels,Business Finance,Ingles
718,UK Self Assessment Tax Return Filing Online,20,23,All Levels,Business Finance,Aleman
719,Introduction to Financial Statements,40,112,Beginner Level,Business Finance,Ingles
720,"IAS 8-Accounting Policies ,Changes in Accounting Estimates",0,2122,All Levels,Business Finance,Ingles
721,CFA® Level 1 2014 – Financial Reporting and Analysis,50,152,All Levels,Business Finance,Ingles
722,Investment Banking Operations : Securities Trade Life Cycle,30,267,All Levels,Business Finance,Ingles
723,CFA Level I Foundation Course: Introduction to Quants,50,155,Beginner Level,Business Finance,Ingles
724,Financial Risk Manager (FRM) Certification: Level I,50,87,All Levels,Business Finance,Ingles
725,IAS 10 - Events After Reporting Date,0,2146,All Levels,Business Finance,Ingles
726,Investment Portfolio Analysis with Excel,50,154,All Levels,Business Finance,Ingles
727,Introduction to the CFA Program,0,4248,Beginner Level,Business Finance,Ingles
728,Chartered Financial Analyst (CFA) - Level 1 - FRA,30,517,Beginner Level,Business Finance,Ingles
729,Excel 4 Accounting & Bookkeeping - Master Lookup Functions,35,2638,All Levels,Business Finance,Ingles
730,Cashflow Management for Small Businesses: A How To Guide,25,2914,All Levels,Business Finance,Ingles
731,Forex Basics (Professional Course Level),20,6050,All Levels,Business Finance,Ingles
732,Advanced Butterfly Spreads for Options Income Strategies,60,16,Expert Level,Business Finance,Ingles
733,The Holy Grail of Auto Trading Forex Futures Stocks Revealed,50,3917,All Levels,Business Finance,Ingles
734,IPO Fundamentals,20,1122,Beginner Level,Business Finance,Ingles
735,Finance for Non-Finance: Learn Quick and Easy,20,4158,Beginner Level,Business Finance,Ingles
736,Advanced Options Trading Course,40,1252,Intermediate Level,Business Finance,Ingles
737,Statistics - Measures of Dispersion for CA / CS / CFA exams,20,5108,All Levels,Business Finance,Ingles
738,Work From Home Online (Part/Full) : Trade Forex 4 Beginners,45,2981,Beginner Level,Business Finance,Aleman
739,Financial Ratios Using Excel,100,1223,Beginner Level,Business Finance,Ingles
740,How To Start Trading Penny Stocks In 10 Easy Steps 2017,50,7750,All Levels,Business Finance,Ingles
741,How to Copy the Best Traders on Etoro,90,564,All Levels,Business Finance,Ingles
742,How To Set Up A Limited Company In The UK,0,2075,Beginner Level,Business Finance,Ingles
743,Forex trading made simple,100,45,All Levels,Business Finance,Portuges
744,Financial and Business Simulation with Microsoft Excel,20,44,Expert Level,Business Finance,Ingles
745,10.  Bonds and Bond Pricing,20,308,All Levels,Business Finance,Ingles
746,Professional Risk Manager (PRM) Certification: Level 3,50,55,All Levels,Business Finance,Ingles
747,Stocks: Quick Method to get started Investing,0,718,Beginner Level,Business Finance,Ingles
748,The Fundamentals Of Finance For Non-Finance Professionals,40,206,All Levels,Business Finance,Ingles
749,Forex - Top Equity Management Strategy,20,18,All Levels,Business Finance,Ingles
750,The Truths about (in)secure Retirement,200,86,Intermediate Level,Business Finance,Ingles
751,Learn How to File Taxes for Uber and Lyft Drivers,40,294,All Levels,Business Finance,Ingles
752,Learn the Basics of the Wave Principle:,30,27,Beginner Level,Business Finance,Ingles
753,MasterClass-Japanese &  Heiken Ashi CandleStick Patterns,195,375,All Levels,Business Finance,Ingles
754,Start Trading Stocks Using Technical Analysis! Part 2,95,94,All Levels,Business Finance,Ingles
755,Introduction to Corporate Finance (Mergers & Acquisitions),0,2080,Beginner Level,Business Finance,Ingles
756,Forex & Financial Market Trading Tutorial- Online Strategies,0,3137,All Levels,Business Finance,Ingles
757,Learn to trade Candlestick Patterns,20,155,Intermediate Level,Business Finance,Ingles
758,High-Frequency Trading #2: Market Structure & Instruments,50,1732,All Levels,Business Finance,Ingles
759,The Art Of Financial Valuation With Certificate,20,3372,All Levels,Business Finance,Ingles
760,Sensitivity & Scenario Analysis for CA / CFA / CPA Exams,20,2185,All Levels,Business Finance,Ingles
761,"Economics:   Competition, Elasticity, a little Game Theory",50,1008,All Levels,Business Finance,Ingles
762,Quantitative Trading Analysis with Python,50,256,All Levels,Business Finance,Ingles
763,Invest Like a Pro!,200,1173,Beginner Level,Business Finance,Ingles
764,Options Trading Essentials: The ULTIMATE Guides,0,1352,All Levels,Business Finance,Ingles
765,ACCA FA1 Recording Financial Transactions,50,49,Beginner Level,Business Finance,Ingles
766,CFA® Level 1 2014 – Portfolio Management,40,124,All Levels,Business Finance,Ingles
767,Essentials Of Swing Trading Stocks,20,105,All Levels,Business Finance,Ingles
768,Small Business and Managerial Accounting Training Tutorial,20,117,Beginner Level,Business Finance,Ingles
769,Use Crowdfunding Effectively With Indiegogo and Kickstarter,0,6533,All Levels,Business Finance,Ingles
770,The Complete Litecoin Crypto Currency Bootcamp,20,7,All Levels,Business Finance,Ingles
771,Bank Reconciliation & VAT on Excel,20,30,All Levels,Business Finance,Ingles
772,Commodity Futures Day Trading Strategies,95,91,All Levels,Business Finance,Ingles
773,Learn to invest in the Stock Market,40,28,Beginner Level,Business Finance,Ingles
774,FX Commodity Chart Trading Patterns for Success,50,83,All Levels,Business Finance,Ingles
775,Forex Elite Trading,85,623,All Levels,Business Finance,Ingles
776,How to Invest in Startups - Expert Reveals Winning Secrets.,0,1625,All Levels,Business Finance,Ingles
777,Kickstarter success in 5 easy steps,20,0,All Levels,Business Finance,Ingles
778,Understanding Financial Statements,25,0,All Levels,Business Finance,Ingles
779,Planning and Executing a Financial Statement Audit,50,0,Intermediate Level,Business Finance,Ingles
780,The Latest Updates 2016 Financial Accounting Standards Board,50,1,Intermediate Level,Business Finance,Ingles
781,How to achieve personal transformation,20,0,All Levels,Business Finance,Ingles
782,Basic Bookkeeping,35,0,Beginner Level,Business Finance,Ingles
783,"Credit concepts and checklist for bankers, credit analyst",20,0,Beginner Level,Business Finance,Ingles
784,Practical Film Financing: Finding & Pitching Investors,100,0,Beginner Level,Business Finance,Ingles
785,Ratio Analysis for Financial Statements,50,0,Beginner Level,Business Finance,Ingles
786,60 Minutes to Fundamental Accounting Skills,75,0,Beginner Level,Business Finance,Ingles
787,"Backspreads, Diagonals and Butterflies - Advanced Strategies",60,737,Expert Level,Business Finance,Ingles
788,Trade Forex 13 Patterns - Golden Ratios Secret Revealed,200,554,All Levels,Business Finance,Ingles
789,Crystal ball trading - foresee price with seasonal patterns,145,807,All Levels,Business Finance,Ingles
790,Weekly Options and study of Options expiration dynamics,60,779,Expert Level,Business Finance,Ingles
791,Cost Accounting Basics (Professional Course Level),20,1777,Beginner Level,Business Finance,Ingles
792,Learn to Reliably Invest In The Stock Market,50,841,All Levels,Business Finance,Ingles
793,Hedge Fund Trading Systems Part Two - Stocks & ETFs,200,56,Expert Level,Business Finance,Ingles
794,Stock Market Option Trading: How Sell Options For Premium,200,1909,Intermediate Level,Business Finance,Ingles
795,Straddles and Strangles - Volatility moves in any direction,60,775,Expert Level,Business Finance,Ingles
796,Debt Collection Management: Get Paid On Time EVERY TIME!,20,1255,All Levels,Business Finance,Ingles
797,Learn about it,20,1193,All Levels,Business Finance,Ingles
798,Trading: Basics of Trading for Beginners,140,1309,Beginner Level,Business Finance,Ingles
799,Options Spreads Bundle-  the heart of Options Trading,120,623,Intermediate Level,Business Finance,Ingles
800,Trade the News in Forex: EA Robot Included,200,276,All Levels,Business Finance,Ingles
801,Investment Portfolio Analysis with R,50,314,All Levels,Business Finance,Ingles
802,Basics of Economics For Beginners A to Z - A Complete Course,170,1942,Beginner Level,Business Finance,Ingles
803,Seeing the Big Picture: Understanding Financial Statements,50,885,All Levels,Business Finance,Ingles
804,Financial Modeling for Professionals in 1 Day!,200,226,Intermediate Level,Business Finance,Ingles
805,Create Your Own Automated Stock Trading Robot In EXCEL!,150,461,All Levels,Business Finance,Ingles
806,FOREX: From Zero To Hero,150,152,All Levels,Business Finance,Ingles
807,Learn Call Options and Put Options - Introduction to Options,60,1017,Beginner Level,Business Finance,Ingles
808,1. Principles of Simple Interest ,20,1074,All Levels,Business Finance,Ingles
